antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Tea', 'Bread'})",frozenset({'Jam'}),0.197,0.4028,0.1464,0.7431472081218274,1.8449533468764336,1.0,0.0670484,2.3250671936758893,0.5703373279164881,0.32289369210410235,0.5699049030841049,0.5533015087282425
frozenset({'Jam'}),frozenset({'Tea'}),0.4028,0.4112,0.3026,0.7512413108242304,1.8269487130939455,1.0,0.13696863999999997,2.36695249500998,0.7579357999813184,0.591709034024247,0.5775158132204999,0.7435681262292357
frozenset({'Tea'}),frozenset({'Jam'}),0.4112,0.4028,0.3026,0.7358949416342412,1.8269487130939455,1.0,0.13696863999999997,2.2612213627992626,0.7687487427799649,0.591709034024247,0.5577611212897542,0.7435681262292357
"frozenset({'Jam', 'Bread'})",frozenset({'Tea'}),0.1978,0.4112,0.1464,0.7401415571284126,1.7999551486585907,1.0,0.06506463999999999,2.2658490272373544,0.5540147109111145,0.3164721141374838,0.5586643293621137,0.5480863427665409
"frozenset({'Butter', 'Bread'})",frozenset({'Coffee'}),0.28,0.527,0.2438,0.8707142857142856,1.652209270805096,1.0,0.09623999999999996,3.6585635359115973,0.5482636040470329,0.4328835227272727,0.7266686801570519,0.6666664407698563
"frozenset({'Coffee', 'Bread'})",frozenset({'Butter'}),0.2996,0.4942,0.2438,0.8137516688918558,1.646603943528644,1.0,0.09573768000000002,2.7157290322580643,0.5606645025062441,0.4432727272727273,0.6317747506758715,0.6535371051865188
frozenset({'Coffee'}),frozenset({'Butter'}),0.527,0.4942,0.4206,0.7981024667931688,1.6149382169024056,1.0,0.16015659999999998,2.5052312030075177,0.8050343865956114,0.7002997002997003,0.6008352447472692,0.8245874535503683
frozenset({'Butter'}),frozenset({'Coffee'}),0.4942,0.527,0.4206,0.8510724403075678,1.6149382169024056,1.0,0.16015659999999998,3.176040760869565,0.7528297051398263,0.7002997002997003,0.6851425799314329,0.8245874535503683
"frozenset({'Butter', 'Coffee'})",frozenset({'Bread'}),0.4206,0.5328,0.2438,0.5796481217308607,1.0879281564017653,1.0,0.01970431999999997,1.111449773755656,0.13949198670345217,0.3435738444193912,0.10027423315680783,0.5186153521567216
frozenset({'Coffee'}),frozenset({'Bread'}),0.527,0.5328,0.2996,0.5685009487666034,1.0670062852226039,1.0,0.018814399999999953,1.0827370272647316,0.13276616884528178,0.3941068139963167,0.07641470198331196,0.5654066305394578
frozenset({'Bread'}),frozenset({'Coffee'}),0.5328,0.527,0.2996,0.5623123123123123,1.0670062852226039,1.0,0.018814399999999953,1.0806792452830187,0.13441437898933706,0.3941068139963167,0.0746560514002373,0.5654066305394578
"frozenset({'Jam', 'Butter'})",frozenset({'Bread'}),0.056,0.5328,0.0318,0.5678571428571428,1.0657979407979408,1.0,0.0019631999999999983,1.0811239669421486,0.06539814518708022,0.05709156193895871,0.07503669275929535,0.31377091377091376
frozenset({'Butter'}),frozenset({'Bread'}),0.4942,0.5328,0.28,0.5665722379603401,1.0633863325081456,1.0,0.016690240000000023,1.0779189542483663,0.11784895215500212,0.3748326639892905,0.07228646823702914,0.5460488817429328
frozenset({'Bread'}),frozenset({'Butter'}),0.5328,0.4942,0.28,0.5255255255255256,1.0633863325081456,1.0,0.016690240000000023,1.0660215189873419,0.12758561643835636,0.3748326639892905,0.06193263251389005,0.5460488817429328
"frozenset({'Jam', 'Butter'})",frozenset({'Coffee'}),0.056,0.527,0.0306,0.5464285714285714,1.0368663594470044,1.0,0.0010879999999999952,1.0428346456692912,0.03766478342749513,0.05539464156408398,0.041075203865901376,0.30224654377880183
"frozenset({'Jam', 'Coffee'})",frozenset({'Bread'}),0.0646,0.5328,0.0352,0.544891640866873,1.0226945211465333,1.0,0.0007811199999999963,1.026568707482993,0.02372344354384112,0.06261117040199217,0.02588108062258771,0.3054788534664695
