TxID,Item
101,Tea
102,Bread
102,Tea
103,Bread
103,Tea
103,Jam
104,Bread
104,Tea
104,Jam
105,Bread
105,Tea
105,Jam
106,Coffee
106,Bread
106,Butter
107,Tea
107,Jam
108,Bread
108,Butter
108,Tea
108,Jam
109,Bread
109,Tea
109,Jam
110,Tea
110,Jam
111,Bread
111,Tea
111,Jam
112,Coffee
112,Bread
112,Butter
112,Tea
113,Tea
113,Jam
114,Coffee
114,Butter
115,Coffee
115,Bread
115,Butter
116,Coffee
116,Bread
117,Butter
118,Coffee
118,Bread
118,Butter
119,Coffee
119,Butter
120,Bread
120,Tea
120,Jam
121,Coffee
121,Bread
121,Butter
122,Butter
122,Jam
123,Bread
123,Jam
124,Bread
124,Tea
124,Jam
125,Bread
125,Tea
126,Coffee
126,Butter
127,Coffee
127,Bread
127,Butter
128,Bread
128,Butter
129,Coffee
129,Bread
130,Butter
131,Coffee
131,Butter
132,Coffee
132,Bread
132,Butter
133,Coffee
134,Coffee
134,Bread
134,Butter
135,Bread
135,Tea
135,Jam
136,Coffee
136,Butter
137,Bread
137,Tea
137,Jam
138,Bread
138,Jam
139,Tea
139,Jam
140,Bread
141,Bread
141,Tea
142,Bread
142,Tea
142,Jam
143,Coffee
143,Bread
143,Butter
144,Coffee
144,Bread
144,Butter
144,Tea
144,Jam
145,Coffee
145,Bread
145,Butter
146,Coffee
146,Butter
147,Coffee
147,Bread
147,Butter
148,Jam
149,Tea
149,Jam
150,Coffee
150,Bread
150,Butter
151,Coffee
151,Bread
151,Butter
152,Coffee
152,Butter
153,Jam
154,Tea
154,Jam
155,Coffee
155,Bread
156,Jam
157,Tea
157,Jam
158,Tea
158,Jam
159,Coffee
159,Bread
159,Butter
160,Bread
160,Tea
160,Jam
161,Coffee
161,Bread
161,Butter
162,Coffee
162,Bread
163,Tea
163,Jam
164,Coffee
164,Tea
165,Tea
165,Jam
166,Butter
167,Coffee
167,Bread
167,Butter
168,Coffee
168,Bread
168,Tea
168,Jam
169,Coffee
169,Bread
169,Butter
170,Bread
170,Tea
170,Jam
171,Tea
171,Jam
172,Coffee
172,Butter
173,Coffee
173,Butter
174,Jam
175,Coffee
176,Coffee
176,Bread
176,Butter
177,Coffee
177,Bread
177,Butter
178,Coffee
178,Bread
178,Butter
179,Tea
179,Jam
180,Tea
180,Jam
181,Coffee
181,Butter
182,Bread
182,Tea
182,Jam
183,Coffee
183,Bread
183,Butter
184,Coffee
184,Bread
184,Butter
185,Coffee
185,Bread
185,Butter
186,Tea
186,Jam
187,Coffee
187,Bread
187,Butter
188,Tea
189,Coffee
189,Butter
190,Coffee
190,Bread
190,Butter
191,Bread
191,Tea
191,Jam
192,Tea
192,Jam
193,Coffee
193,Bread
193,Butter
194,Butter
195,Coffee
195,Butter
196,Coffee
196,Butter
197,Coffee
197,Butter
198,Jam
199,Coffee
200,Bread
200,Jam
201,Coffee
201,Butter
202,Butter
203,Bread
203,Tea
203,Jam
204,Tea
204,Jam
205,Coffee
205,Butter
205,Tea
206,Coffee
206,Bread
206,Tea
206,Jam
207,Coffee
207,Butter
208,Coffee
208,Bread
208,Butter
209,Bread
209,Tea
210,Coffee
210,Bread
210,Butter
210,Tea
211,Bread
211,Tea
211,Jam
212,Coffee
212,Bread
212,Butter
213,Tea
213,Jam
214,Coffee
214,Bread
214,Butter
215,Coffee
215,Butter
216,Tea
217,Bread
217,Tea
217,Jam
218,Coffee
218,Bread
218,Butter
219,Coffee
219,Bread
219,Butter
220,Coffee
220,Bread
220,Butter
220,Jam
221,Bread
221,Tea
221,Jam
222,Coffee
222,Bread
222,Butter
223,Coffee
223,Bread
223,Butter
224,Coffee
224,Butter
224,Jam
225,Coffee
225,Bread
225,Butter
226,Coffee
226,Butter
227,Coffee
227,Bread
227,Butter
228,Coffee
228,Tea
229,Coffee
229,Bread
229,Butter
229,Tea
230,Tea
230,Jam
231,Coffee
231,Butter
232,Coffee
232,Butter
233,Butter
233,Tea
234,Coffee
234,Butter
235,Coffee
236,Tea
236,Jam
237,Coffee
237,Bread
237,Butter
238,Coffee
238,Bread
239,Bread
240,Coffee
240,Butter
241,Coffee
241,Butter
242,Coffee
242,Tea
243,Coffee
243,Butter
244,Bread
244,Jam
245,Coffee
245,Bread
246,Bread
246,Tea
246,Jam
247,Bread
247,Jam
248,Bread
248,Tea
249,Tea
249,Jam
250,Coffee
250,Bread
250,Butter
251,Coffee
251,Bread
251,Butter
252,Coffee
252,Bread
252,Butter
253,Coffee
253,Butter
253,Tea
254,Coffee
254,Bread
254,Butter
255,Coffee
255,Butter
255,Tea
255,Jam
256,Bread
256,Jam
257,Coffee
257,Butter
257,Tea
257,Jam
258,Coffee
258,Bread
258,Butter
259,Tea
259,Jam
260,Coffee
260,Bread
260,Butter
261,Jam
262,Coffee
262,Tea
262,Jam
263,Coffee
263,Butter
264,Tea
265,Coffee
265,Butter
266,Jam
267,Bread
267,Tea
267,Jam
268,Coffee
268,Bread
268,Butter
269,Coffee
269,Bread
269,Butter
270,Bread
270,Tea
270,Jam
271,Coffee
272,Coffee
272,Bread
273,Coffee
273,Butter
274,Coffee
274,Jam
275,Coffee
275,Butter
276,Bread
276,Tea
276,Jam
277,Coffee
277,Bread
277,Butter
278,Coffee
278,Bread
278,Butter
279,Coffee
279,Bread
279,Butter
280,Coffee
281,Coffee
281,Bread
281,Butter
282,Coffee
283,Tea
283,Jam
284,Coffee
284,Tea
285,Coffee
285,Butter
286,Bread
286,Tea
287,Coffee
287,Bread
287,Butter
287,Jam
288,Coffee
288,Bread
288,Butter
289,Coffee
289,Butter
290,Coffee
290,Bread
290,Butter
291,Bread
291,Tea
291,Jam
292,Coffee
292,Bread
292,Butter
293,Coffee
293,Bread
293,Butter
294,Coffee
294,Bread
294,Tea
295,Tea
295,Jam
296,Bread
296,Tea
296,Jam
297,Bread
297,Tea
297,Jam
298,Bread
298,Tea
298,Jam
299,Coffee
299,Bread
299,Butter
300,Coffee
300,Bread
300,Butter
301,Coffee
301,Bread
301,Butter
302,Coffee
302,Bread
302,Butter
303,Bread
303,Butter
303,Tea
304,Coffee
304,Butter
305,Coffee
305,Bread
306,Bread
306,Butter
307,Coffee
