transaction_id,customer_id,visit_datetime,items,total_spend
TX-000001,CUST-127,2025-01-01 00:35:23,Drip Coffee,2.5
TX-000002,CUST-035,2025-01-01 01:04:17,Pasta | Muffin | Breakfast Sandwich | Americano | Drip Coffee,26.5
TX-000003,CUST-012,2025-01-01 03:31:18,Americano | Tea | Breakfast Sandwich | Cake Slice | Salad,26.5
TX-000004,CUST-137,2025-01-01 06:31:58,Drip Coffee,2.5
TX-000005,CUST-123,2025-01-01 07:26:03,Croissant,4.0
TX-000006,CUST-084,2025-01-01 08:43:12,Croissant | Latte | Pasta | Cake Slice,25.0
TX-000007,CUST-003,2025-01-01 10:38:30,Latte | Croissant | Drip Coffee,11.0
TX-000008,CUST-003,2025-01-01 14:19:56,Drip Coffee | Croissant | Muffin,10.0
TX-000009,CUST-027,2025-01-01 14:50:03,Muffin | Breakfast Sandwich | Drip Coffee | Latte,17.0
TX-000010,CUST-119,2025-01-01 15:09:33,Breakfast Sandwich | Croissant,10.5
TX-000011,CUST-127,2025-01-01 15:26:35,Drip Coffee,2.5
TX-000012,CUST-107,2025-01-01 16:40:10,Salad | Cake Slice,14.0
TX-000013,CUST-029,2025-01-01 19:03:18,Latte | Muffin | Cake Slice | Breakfast Sandwich | Pasta,31.0
TX-000014,CUST-128,2025-01-01 21:37:38,Tea,3.0
TX-000015,CUST-036,2025-01-01 22:32:57,Drip Coffee | Americano | Muffin | Pasta,20.0
TX-000016,CUST-127,2025-01-02 03:18:50,Pasta,11.0
TX-000017,CUST-032,2025-01-02 07:22:32,Muffin | Breakfast Sandwich | Americano | Salad,21.5
TX-000018,CUST-073,2025-01-02 07:39:41,Americano | Drip Coffee,5.5
TX-000019,CUST-029,2025-01-02 09:15:36,Latte | Drip Coffee | Cake Slice,12.5
TX-000020,CUST-075,2025-01-02 09:23:41,Croissant | Americano,7.0
TX-000021,CUST-025,2025-01-02 11:03:00,Cake Slice | Latte | Croissant,14.0
TX-000022,CUST-147,2025-01-02 11:46:19,Drip Coffee | Muffin,6.0
TX-000023,CUST-146,2025-01-02 13:10:50,Latte,4.5
TX-000024,CUST-094,2025-01-02 13:24:42,Tea | Salad,11.5
TX-000025,CUST-123,2025-01-02 16:07:48,Breakfast Sandwich | Americano,9.5
TX-000026,CUST-150,2025-01-02 17:17:37,Drip Coffee,2.5
TX-000027,CUST-031,2025-01-02 19:16:15,Cake Slice | Salad | Drip Coffee | Latte | Pasta,32.0
TX-000028,CUST-036,2025-01-02 23:09:00,Latte | Pasta | Cake Slice | Salad,29.5
TX-000029,CUST-049,2025-01-03 00:37:09,Tea | Croissant,7.0
