customer_id,last_visit,frequency,monetary,recency_days,average_transaction_value,cluster,segment
CUST-001,2025-12-31 16:39:00,50,1057.5,1,21.15,2,VIP Daily Drinkers
CUST-002,2025-12-19 17:28:00,64,1370.0,13,21.41,2,VIP Daily Drinkers
CUST-003,2025-12-26 14:19:00,72,1594.5,6,22.15,2,VIP Daily Drinkers
CUST-004,2025-12-28 10:45:00,62,1347.0,4,21.73,2,VIP Daily Drinkers
CUST-005,2025-12-29 09:13:00,59,1287.0,3,21.81,2,VIP Daily Drinkers
CUST-006,2025-12-25 16:37:00,51,1092.0,7,21.41,2,VIP Daily Drinkers
CUST-007,2025-12-30 11:35:00,70,1541.5,2,22.02,2,VIP Daily Drinkers
CUST-008,2025-12-28 10:50:00,67,1365.5,4,20.38,2,VIP Daily Drinkers
CUST-009,2025-12-29 17:29:00,59,1215.5,3,20.6,2,VIP Daily Drinkers
CUST-010,2025-12-31 17:16:00,49,1087.0,1,22.18,2,VIP Daily Drinkers
CUST-011,2025-12-22 17:08:00,68,1349.0,10,19.84,2,VIP Daily Drinkers
CUST-012,2025-12-20 12:33:00,70,1475.0,12,21.07,2,VIP Daily Drinkers
CUST-013,2025-12-19 16:31:00,55,1164.5,13,21.17,2,VIP Daily Drinkers
CUST-014,2025-12-28 16:07:00,59,1137.0,4,19.27,2,VIP Daily Drinkers
CUST-015,2025-12-30 15:49:00,61,1281.5,2,21.01,2,VIP Daily Drinkers
CUST-016,2025-12-22 14:02:00,55,1193.0,10,21.69,2,VIP Daily Drinkers
CUST-017,2025-12-26 16:39:00,61,1285.0,6,21.07,2,VIP Daily Drinkers
CUST-018,2025-12-26 13:20:00,54,1129.0,6,20.91,2,VIP Daily Drinkers
CUST-019,2025-12-21 18:32:00,72,1519.0,11,21.1,2,VIP Daily Drinkers
CUST-020,2025-12-25 10:20:00,63,1374.0,7,21.81,2,VIP Daily Drinkers
CUST-021,2025-12-21 13:32:00,72,1558.5,11,21.65,2,VIP Daily Drinkers
CUST-022,2025-12-31 16:10:00,67,1518.5,1,22.66,2,VIP Daily Drinkers
CUST-023,2025-12-24 10:37:00,53,1165.5,8,21.99,2,VIP Daily Drinkers
CUST-024,2025-12-30 12:43:00,57,1241.5,2,21.78,2,VIP Daily Drinkers
CUST-025,2025-12-24 17:21:00,56,1231.5,8,21.99,2,VIP Daily Drinkers
CUST-026,2025-12-29 17:27:00,51,1087.0,3,21.31,2,VIP Daily Drinkers
CUST-027,2025-12-25 09:25:00,69,1425.5,7,20.66,2,VIP Daily Drinkers
CUST-028,2025-12-25 14:56:00,48,1029.5,7,21.45,2,VIP Daily Drinkers
CUST-029,2025-12-18 12:40:00,51,1180.0,14,23.14,2,VIP Daily Drinkers
CUST-030,2025-12-19 16:35:00,59,1330.5,13,22.55,2,VIP Daily Drinkers
CUST-031,2025-12-27 15:51:00,59,1206.5,5,20.45,2,VIP Daily Drinkers
CUST-032,2025-12-25 18:16:00,50,1100.5,7,22.01,2,VIP Daily Drinkers
CUST-033,2025-12-22 09:14:00,54,1139.0,10,21.09,2,VIP Daily Drinkers
CUST-034,2025-12-21 16:53:00,51,1117.5,11,21.91,2,VIP Daily Drinkers
CUST-035,2025-12-24 09:42:00,50,1043.5,8,20.87,2,VIP Daily Drinkers
CUST-036,2025-12-24 08:16:00,61,1246.5,8,20.43,2,VIP Daily Drinkers
CUST-037,2025-12-27 18:30:00,51,1118.5,5,21.93,2,VIP Daily Drinkers
CUST-038,2025-12-30 07:47:00,59,1224.0,2,20.75,2,VIP Daily Drinkers
CUST-039,2025-12-20 15:35:00,24,106.0,12,4.42,0,Budget Students
CUST-040,2025-12-28 18:16:00,36,204.5,4,5.68,0,Budget Students
CUST-041,2025-12-14 11:59:00,24,126.0,18,5.25,0,Budget Students
CUST-042,2025-12-16 07:41:00,33,178.0,16,5.39,0,Budget Students
CUST-043,2025-12-14 17:27:00,39,190.0,18,4.87,0,Budget Students
CUST-044,2025-12-24 16:05:00,27,128.5,8,4.76,0,Budget Students
CUST-045,2025-12-21 18:33:00,25,125.0,11,5.0,0,Budget Students
CUST-046,2025-12-24 17:39:00,30,168.0,8,5.6,0,Budget Students
CUST-047,2025-12-22 08:39:00,38,186.5,10,4.91,0,Budget Students
CUST-048,2025-12-19 12:43:00,42,198.5,13,4.73,0,Budget Students
CUST-049,2025-12-25 15:50:00,25,106.5,7,4.26,0,Budget Students
CUST-050,2025-12-19 08:06:00,24,99.5,13,4.15,0,Budget Students
CUST-051,2025-12-22 07:19:00,26,131.0,10,5.04,0,Budget Students
CUST-052,2025-12-27 17:50:00,44,201.5,5,4.58,0,Budget Students
CUST-053,2025-12-27 09:03:00,34,143.0,5,4.21,0,Budget Students
CUST-054,2025-12-29 18:19:00,27,130.0,3,4.81,0,Budget Students
CUST-055,2025-12-25 18:40:00,34,164.0,7,4.82,0,Budget Students
CUST-056,2025-12-18 09:32:00,42,206.0,14,4.9,0,Budget Students
CUST-057,2025-12-23 18:14:00,42,208.0,9,4.95,0,Budget Students
CUST-058,2025-12-11 17:55:00,27,129.5,21,4.8,0,Budget Students
CUST-059,2025-12-25 12:41:00,40,192.5,7,4.81,0,Budget Students
CUST-060,2025-12-13 15:16:00,24,125.0,19,5.21,0,Budget Students
CUST-061,2025-12-17 11:59:00,38,175.5,15,4.62,0,Budget Students
CUST-062,2025-12-30 17:43:00,28,148.0,2,5.29,0,Budget Students
CUST-063,2025-12-12 18:08:00,31,168.5,20,5.44,0,Budget Students
CUST-064,2025-12-21 08:35:00,25,113.0,11,4.52,0,Budget Students
CUST-065,2025-12-20 10:34:00,41,205.5,12,5.01,0,Budget Students
CUST-066,2025-12-30 07:02:00,39,182.0,2,4.67,0,Budget Students
CUST-067,2025-12-12 10:48:00,31,164.5,20,5.31,0,Budget Students
CUST-068,2025-12-23 13:32:00,26,132.5,9,5.1,0,Budget Students
CUST-069,2025-12-22 10:18:00,40,203.0,10,5.08,0,Budget Students
CUST-070,2025-12-11 13:50:00,41,206.5,21,5.04,0,Budget Students
CUST-071,2025-12-24 14:25:00,31,157.0,8,5.06,0,Budget Students
CUST-072,2025-12-24 13:36:00,39,193.0,8,4.95,0,Budget Students
CUST-073,2025-12-22 08:52:00,37,178.0,10,4.81,0,Budget Students
CUST-074,2025-12-22 07:06:00,24,127.5,10,5.31,0,Budget Students
CUST-075,2025-12-25 16:15:00,29,144.5,7,4.98,0,Budget Students
CUST-076,2025-12-20 15:12:00,25,136.0,12,5.44,0,Budget Students
CUST-077,2025-12-24 14:26:00,28,145.0,8,5.18,0,Budget Students
CUST-078,2025-12-31 12:37:00,24,117.5,1,4.9,0,Budget Students
CUST-079,2025-09-25 13:01:00,15,266.0,98,17.73,3,Occasional Treaters
CUST-080,2025-10-11 15:39:00,7,130.5,82,18.64,3,Occasional Treaters
CUST-081,2025-09-26 08:20:00,9,200.0,97,22.22,3,Occasional Treaters
CUST-082,2025-11-12 14:40:00,14,279.0,50,19.93,3,Occasional Treaters
CUST-083,2025-09-25 11:11:00,10,199.0,98,19.9,3,Occasional Treaters
CUST-084,2025-10-05 15:41:00,15,298.5,88,19.9,3,Occasional Treaters
CUST-085,2025-11-05 08:24:00,10,170.5,57,17.05,3,Occasional Treaters
CUST-086,2025-11-24 15:07:00,7,139.0,38,19.86,3,Occasional Treaters
CUST-087,2025-11-16 12:24:00,7,123.0,46,17.57,3,Occasional Treaters
CUST-088,2025-11-24 17:40:00,15,260.0,38,17.33,3,Occasional Treaters
CUST-089,2025-11-26 09:16:00,14,303.5,36,21.68,3,Occasional Treaters
CUST-090,2025-11-06 17:16:00,9,165.0,56,18.33,3,Occasional Treaters
CUST-091,2025-10-15 11:49:00,15,261.0,78,17.4,3,Occasional Treaters
CUST-092,2025-11-10 12:03:00,14,246.5,52,17.61,3,Occasional Treaters
CUST-093,2025-11-10 13:08:00,14,294.5,52,21.04,3,Occasional Treaters
CUST-094,2025-11-19 09:53:00,7,103.5,43,14.79,3,Occasional Treaters
CUST-095,2025-10-02 07:18:00,11,183.5,91,16.68,3,Occasional Treaters
CUST-096,2025-09-20 07:05:00,9,180.5,103,20.06,3,Occasional Treaters
CUST-097,2025-10-04 09:08:00,9,181.5,89,20.17,3,Occasional Treaters
CUST-098,2025-11-21 16:20:00,7,145.5,41,20.79,3,Occasional Treaters
CUST-099,2025-10-18 11:47:00,8,148.0,75,18.5,3,Occasional Treaters
CUST-100,2025-09-14 11:46:00,10,188.0,109,18.8,3,Occasional Treaters
CUST-101,2025-10-24 12:17:00,8,156.5,69,19.56,3,Occasional Treaters
CUST-102,2025-10-28 11:22:00,13,209.0,65,16.08,3,Occasional Treaters
CUST-103,2025-10-30 17:15:00,9,210.5,63,23.39,3,Occasional Treaters
CUST-104,2025-10-08 08:59:00,14,283.0,85,20.21,3,Occasional Treaters
CUST-105,2025-11-10 13:11:00,13,252.5,52,19.42,3,Occasional Treaters
CUST-106,2025-10-09 10:31:00,10,210.5,84,21.05,3,Occasional Treaters
CUST-107,2025-10-06 10:05:00,13,257.0,87,19.77,3,Occasional Treaters
CUST-108,2025-10-25 17:25:00,7,102.5,68,14.64,3,Occasional Treaters
CUST-109,2025-09-29 17:08:00,14,254.0,94,18.14,3,Occasional Treaters
CUST-110,2025-11-21 17:44:00,8,139.0,41,17.38,3,Occasional Treaters
CUST-111,2025-11-16 09:53:00,9,183.0,46,20.33,3,Occasional Treaters
CUST-112,2025-11-09 08:23:00,14,230.5,53,16.46,3,Occasional Treaters
CUST-113,2025-10-11 17:11:00,12,194.0,82,16.17,3,Occasional Treaters
CUST-114,2025-11-07 08:15:00,15,224.0,55,14.93,3,Occasional Treaters
CUST-115,2025-06-11 18:31:00,6,48.0,204,8.0,1,Churned Customers
CUST-116,2025-05-19 16:59:00,4,25.5,227,6.38,1,Churned Customers
CUST-117,2025-04-14 17:37:00,9,62.5,262,6.94,1,Churned Customers
CUST-118,2025-04-10 14:45:00,10,77.5,266,7.75,1,Churned Customers
CUST-119,2025-04-26 15:14:00,10,66.0,250,6.6,1,Churned Customers
CUST-120,2025-04-14 11:07:00,8,62.0,262,7.75,1,Churned Customers
CUST-121,2025-02-18 16:50:00,3,16.0,317,5.33,1,Churned Customers
CUST-122,2025-05-31 18:31:00,10,71.0,215,7.1,1,Churned Customers
CUST-123,2025-03-19 11:43:00,6,30.0,288,5.0,1,Churned Customers
CUST-124,2025-05-17 17:10:00,8,46.0,229,5.75,1,Churned Customers
CUST-125,2025-05-17 17:21:00,8,48.5,229,6.06,1,Churned Customers
CUST-126,2025-05-24 13:38:00,5,33.0,222,6.6,1,Churned Customers
CUST-127,2025-03-12 11:29:00,6,32.5,295,5.42,1,Churned Customers
CUST-128,2025-03-27 15:37:00,7,42.5,280,6.07,1,Churned Customers
CUST-129,2025-04-29 07:33:00,4,23.5,247,5.88,1,Churned Customers
CUST-130,2025-06-25 16:34:00,7,46.5,190,6.64,1,Churned Customers
CUST-131,2025-06-18 07:24:00,6,42.5,197,7.08,1,Churned Customers
CUST-132,2025-05-08 15:21:00,8,45.0,238,5.62,1,Churned Customers
CUST-133,2025-02-24 14:37:00,3,30.5,311,10.17,1,Churned Customers
CUST-134,2025-03-11 07:24:00,3,30.0,296,10.0,1,Churned Customers
CUST-135,2025-02-22 15:49:00,9,63.0,313,7.0,1,Churned Customers
CUST-136,2025-06-02 14:00:00,5,39.5,213,7.9,1,Churned Customers
CUST-137,2025-05-09 12:45:00,7,50.0,237,7.14,1,Churned Customers
CUST-138,2025-05-03 12:04:00,7,52.0,243,7.43,1,Churned Customers
CUST-139,2025-05-03 13:56:00,7,47.0,243,6.71,1,Churned Customers
CUST-140,2025-04-15 18:09:00,10,68.5,261,6.85,1,Churned Customers
CUST-141,2025-05-12 08:03:00,5,33.5,234,6.7,1,Churned Customers
CUST-142,2025-02-24 08:24:00,6,56.0,311,9.33,1,Churned Customers
CUST-143,2025-06-20 07:14:00,6,45.5,195,7.58,1,Churned Customers
CUST-144,2025-04-08 14:51:00,5,32.5,268,6.5,1,Churned Customers
CUST-145,2025-06-13 13:54:00,10,61.5,202,6.15,1,Churned Customers
CUST-146,2025-02-11 17:03:00,10,91.0,324,9.1,1,Churned Customers
CUST-147,2025-06-15 07:15:00,4,25.0,200,6.25,1,Churned Customers
CUST-148,2025-02-24 12:17:00,10,57.0,311,5.7,1,Churned Customers
CUST-149,2025-04-26 14:09:00,9,70.0,250,7.78,1,Churned Customers
CUST-150,2025-03-05 11:29:00,3,16.0,302,5.33,1,Churned Customers
