CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,43,27,24
2,Male,48,24,21
3,Male,57,28,19
4,Female,41,31,18
5,Female,39,24,13
6,Male,41,24,16
7,Female,52,31,18
8,Female,48,28,25
9,Female,41,23,22
10,Female,49,27,11
11,Male,46,23,22
12,Male,53,23,18
13,Female,39,26,17
14,Female,42,17,23
15,Male,42,18,25
16,Male,33,23,25
17,Female,47,21,16
18,Male,47,26,18
19,Female,45,21,22
20,Female,43,19,25
21,Male,34,31,18
22,Male,42,24,19
23,Female,42,25,14
24,Female,39,19,14
25,Male,44,23,24
26,Female,48,25,27
27,Male,60,20,20
28,Female,46,27,25
29,Male,47,23,22
30,Male,44,24,17
31,Male,30,23,22
32,Female,45,32,28
33,Female,45,25,20
34,Male,65,21,28
35,Female,43,28,7
36,Male,47,20,24
37,Male,45,26,20
38,Female,36,17,19
39,Female,54,20,20
40,Male,51,26,10
41,Female,22,22,80
42,Male,24,24,87
43,Male,23,28,79
44,Female,25,20,94
45,Male,34,26,83
46,Male,18,30,76
47,Female,28,19,75
48,Female,19,26,82
49,Male,23,26,79
50,Male,29,28,84
51,Male,25,20,82
52,Female,21,20,80
53,Female,22,27,76
54,Female,28,26,72
55,Female,22,26,78
56,Male,26,26,84
57,Female,25,22,81
58,Female,22,26,74
59,Female,34,26,81
60,Female,28,22,82
61,Female,18,32,76
62,Male,26,27,81
63,Male,22,20,80
64,Female,28,28,74
65,Male,22,21,82
66,Female,25,28,83
67,Female,27,30,85
68,Male,28,22,85
69,Male,20,29,73
70,Female,24,27,75
71,Female,23,28,83
72,Female,22,33,83
73,Male,32,24,83
74,Female,27,22,99
75,Female,20,21,83
76,Female,29,22,86
77,Male,33,25,85
78,Female,29,26,83
79,Female,19,26,78
80,Male,23,28,84
81,Female,49,61,55
82,Male,38,55,55
83,Male,40,50,58
84,Female,30,57,50
85,Female,40,56,54
86,Male,37,52,48
87,Female,43,55,52
88,Male,32,53,49
89,Male,45,56,51
90,Male,55,58,54
91,Female,39,63,45
92,Female,44,49,63
93,Female,47,66,44
94,Female,36,45,43
95,Female,42,54,57
96,Male,40,58,55
97,Male,41,56,54
98,Male,32,52,54
99,Male,40,54,50
100,Female,45,53,45
101,Male,55,52,50
102,Female,50,59,46
103,Male,62,57,56
104,Female,32,52,49
105,Female,49,59,45
106,Male,42,57,48
107,Male,62,59,52
108,Male,32,58,47
109,Male,32,51,45
110,Female,34,52,51
111,Male,19,59,51
112,Male,35,58,47
113,Female,32,55,47
114,Male,42,56,51
115,Male,43,61,41
116,Male,59,52,42
117,Male,50,58,46
118,Male,34,54,49
119,Female,31,54,52
120,Male,45,60,59
121,Female,41,72,17
122,Female,34,80,15
123,Male,29,85,5
124,Male,44,85,15
125,Female,36,81,8
126,Male,31,90,18
127,Female,37,76,17
128,Female,33,84,10
129,Female,55,86,12
130,Female,49,89,10
131,Male,42,91,15
132,Female,54,76,20
133,Male,43,73,10
134,Female,35,95,18
135,Male,54,88,12
136,Female,46,79,11
137,Male,34,97,14
138,Male,40,86,10
139,Female,35,94,12
140,Female,31,86,9
141,Female,49,101,25
142,Female,57,99,15
143,Male,31,83,12
144,Female,47,93,16
145,Male,37,90,14
146,Male,38,96,14
147,Female,37,77,18
148,Male,35,90,19
149,Male,42,93,12
150,Male,35,71,12
151,Male,44,76,14
152,Female,42,69,3
153,Female,40,83,7
154,Female,35,91,22
155,Female,37,97,23
156,Male,48,86,14
157,Male,46,98,18
158,Female,34,74,17
159,Female,43,71,30
160,Female,48,85,21
161,Male,35,93,75
162,Female,33,80,88
163,Male,27,92,84
164,Female,35,76,80
165,Female,43,89,85
166,Female,40,97,93
167,Male,42,65,83
168,Male,29,79,83
169,Male,26,90,80
170,Male,31,83,78
171,Female,32,88,86
172,Female,39,80,78
173,Female,22,86,82
174,Male,41,84,80
175,Female,31,94,84
176,Male,29,87,84
177,Female,26,88,87
178,Male,22,82,79
179,Male,37,81,81
180,Female,32,82,77
181,Female,24,88,80
182,Female,24,82,84
183,Female,30,87,86
184,Male,42,102,77
185,Female,30,92,86
186,Female,23,82,89
187,Female,31,95,84
188,Male,30,82,91
189,Male,18,69,78
190,Female,32,77,76
191,Male,31,70,73
192,Female,36,82,89
193,Male,43,85,85
194,Male,39,98,82
195,Male,30,88,83
196,Male,25,83,76
197,Female,47,92,94
198,Female,32,67,83
199,Female,32,87,83
200,Male,32,91,86
